parent_id,name,id,type,path,description,begin_from,begin_to,end_from,end_to,class,geometry,lon,lat,devill_endpoint,API_Endpoint
,Haiken,200540,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0631-10b Haiken,,,,,place,,,,https://devill.oegmn.or.at/entity/200540,https://thanados.openatlas.eu/api/entity/200540
,Haimetschlag,200542,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0632-10b Haimetschlag,,,,,place,,,,https://devill.oegmn.or.at/entity/200542,https://thanados.openatlas.eu/api/entity/200542
,Haimpuch,200544,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0632-20b Haimpuch
HONB H80",1100,1200,1400,1500,place,"{""type"":""Polygon"",""coordinates"":[[[16.176882684,48.279646227],[16.176442802,48.279815802],[16.176214814,48.279937181],[16.175898314,48.279958601],[16.175584495,48.279976451],[16.175442338,48.280008581],[16.175383329,48.28007641],[16.175410151,48.28011925],[16.175600588,48.280147809],[16.176043153,48.280178154],[16.177244782,48.280253123],[16.177746356,48.280290608],[16.177872419,48.280290608],[16.177974343,48.280233488],[16.178052127,48.280135314],[16.178081632,48.280031785],[16.178068221,48.279930041],[16.178036034,48.279867567],[16.177931428,48.279783672],[16.177791953,48.279714057],[16.177649796,48.279658722],[16.177502275,48.279640872],[16.176882684,48.279646227]]]}",48.279967526,16.176907283221652,https://devill.oegmn.or.at/entity/200544,https://thanados.openatlas.eu/api/entity/200544
,Haital,200546,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0633-10b Haital,,,,,place,,,,https://devill.oegmn.or.at/entity/200546,https://thanados.openatlas.eu/api/entity/200546
,Haitfoltsdorf,200548,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0634-10b Haitfoltsdorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200548,https://thanados.openatlas.eu/api/entity/200548
,"Haitzing, Hof zu",200550,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0635-10b Haitzing, Hof zu
HONB H91",1250,1300,1400,1500,place,,,,https://devill.oegmn.or.at/entity/200550,https://thanados.openatlas.eu/api/entity/200550
,Haklern*,200552,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0635-20b Haklern,,,,,place,"{""type"":""Polygon"",""coordinates"":[[[15.423761308,48.851874888],[15.424187779,48.851823705],[15.424439907,48.851770758],[15.424571335,48.8517284],[15.424614251,48.851666627],[15.424565971,48.851557202],[15.424512327,48.851444247],[15.424456,48.851338351],[15.424367487,48.851251869],[15.424305797,48.851195391],[15.424193144,48.851161857],[15.42397052,48.851137148],[15.423662066,48.851161857],[15.423270464,48.851243044],[15.422565043,48.851280108],[15.42206347,48.851299522],[15.421972275,48.851331291],[15.421934724,48.851377179],[15.421929359,48.851449542],[15.421950817,48.851553672],[15.422012508,48.851608385],[15.422076881,48.851668392],[15.422146618,48.851696631],[15.422312915,48.851723105],[15.422567725,48.851758403],[15.422932506,48.851816646],[15.423313379,48.851864298],[15.423611104,48.851885477],[15.423761308,48.851874888]]]}",48.8515016069443,15.423239828088525,https://devill.oegmn.or.at/entity/200552,https://thanados.openatlas.eu/api/entity/200552
,Haliten,200554,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0636-10b Haliten,,,,,place,,,,https://devill.oegmn.or.at/entity/200554,https://thanados.openatlas.eu/api/entity/200554
,Hallas*,200556,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0636-20b Hallas*,1100,1200,1400,1500,place,"{""type"":""Polygon"",""coordinates"":[[[16.154435277,48.577444735],[16.155229211,48.577448284],[16.155551076,48.577380851],[16.155846119,48.577185648],[16.155980229,48.576905263],[16.155969501,48.576504205],[16.155958772,48.576174128],[16.155964136,48.575805007],[16.155867577,48.575535263],[16.155733466,48.575350701],[16.155545712,48.575240673],[16.154714227,48.575009969],[16.154226065,48.574754418],[16.153829098,48.574534359],[16.153609157,48.574463372],[16.153410673,48.574427879],[16.153147817,48.574488218],[16.152954698,48.574644388],[16.152788401,48.574811207],[16.152681112,48.575176786],[16.15260601,48.57579081],[16.152638197,48.576277056],[16.152665019,48.576621329],[16.152707934,48.576809436],[16.152815223,48.576976247],[16.152960062,48.577118214],[16.153185368,48.577242434],[16.153405309,48.577334712],[16.153716445,48.5773844],[16.154075861,48.577430539],[16.154435277,48.577444735]]]}",48.5759895675,16.154290310365326,https://devill.oegmn.or.at/entity/200556,https://thanados.openatlas.eu/api/entity/200556
,Halpach,200558,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0637-10b Halpach,,,,,place,,,,https://devill.oegmn.or.at/entity/200558,https://thanados.openatlas.eu/api/entity/200558
,Halsibach,200560,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0638-10b Halsibach,,,,,place,,,,https://devill.oegmn.or.at/entity/200560,https://thanados.openatlas.eu/api/entity/200560
,Halterhaus*,200562,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0638-20b Halterhaus,,,,,place,"{""type"":""Polygon"",""coordinates"":[[[15.615697503,48.734522596],[15.615558028,48.734671195],[15.615418553,48.734869328],[15.61535418,48.735099302],[15.615295172,48.735350503],[15.615343451,48.735516791],[15.615440011,48.73564416],[15.615686774,48.73571492],[15.615944266,48.7357503],[15.616196394,48.735718458],[15.616432428,48.73566185],[15.616716743,48.735513253],[15.616818666,48.735357579],[15.616888404,48.735152373],[15.616915226,48.735007312],[15.616947412,48.734816257],[15.616872311,48.734653505],[15.616727471,48.734540286],[15.616550446,48.734469524],[15.616271496,48.734419991],[15.615981817,48.734441219],[15.615697503,48.734522596]]]}",48.73505330720474,15.616136888167308,https://devill.oegmn.or.at/entity/200562,https://thanados.openatlas.eu/api/entity/200562
,Hamadorff,200564,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0639-10b Hamadorff,,,,,place,,,,https://devill.oegmn.or.at/entity/200564,https://thanados.openatlas.eu/api/entity/200564
,Hamer,200566,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0640-10b Hamer,,,,,place,,,,https://devill.oegmn.or.at/entity/200566,https://thanados.openatlas.eu/api/entity/200566
,Handsdorf,200568,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0641-10b Handsdorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200568,https://thanados.openatlas.eu/api/entity/200568
,Hangundenast,200570,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0642-10b Hangundenast,,,,,place,,,,https://devill.oegmn.or.at/entity/200570,https://thanados.openatlas.eu/api/entity/200570
